Afrique du Sud	A rediger	A rediger	v1509742099/t3w2molwz0tykiijhbqy.jpg	v1509742101/le5hw5hpqyfgrwup2v6a.jpg	v1509742103/xwyopq6eck0jfkdybjmy.jpg	v1509742104/jsilzu1467r7h1tc3kqu.jpg
Thailande	Muang Thai, qui selon l’étymologie consacrée signifie « le pays des hommes libres », saura vous étonner par sa grande variété de sites touristiques aussi bien historiques que naturels. Bangkok, elle, ne cesse de surprendre les voyageurs par sa pluralité et son effervescence. Vous vous sentirez aussi dépaysés par les grands et riches espaces de la Thaïlande, tels le parc national d’Erawan.	Nos guides soigneusement sélectionnés se feront un plaisir de vous faire découvrir les îles, telle celle de Ko Tao, plages et rocs jaillis de la mer situés au Sud du pays, tandis que la province de Mae Hong Son, véritable paradis des randonneurs, située au Nord, usera du charme de ses temples bouddhistes, montagnes et forêts pour vous envoûter.	v1509815957/vyi4ja2u1thi1dmdlaxj.jpg	v1509815959/djjht96jtgrx4zgsvhnq.jpg	v1509815960/ygbjvnyyyttmny7yz8rm.jpg	v1509815961/moihufvyoz1esovj39tl.jpg
Inde	Alors que le tourisme indien se développe de plus en plus, près de 250 000 français se décident chaque année pour cette destination atypique. Delhi, capitale historique, regorge de sites représentatifs de la culture et de l’histoire indienne.	En dehors de Delhi, les destinations touristiques ne manquent pas. On notera par exemple, au Nord, la ville d’Agra et le Taj Mahal, symbole de l’Inde, le Temple d’Or à Amritsar ou encore le Palais des Vents de Jaipur. Au Sud, on pensera plus aux plages de Goa, aux temples hindous du Karnataka et du Tamil Nadu, ou aux villes surpeuplées de Bombay et Bangalore ! L’Inde, pays du dépaysement, ne manquera pas de vous surprendre.	v1509809869/s7tcvyrz7oyfjpqkfggn.jpg	v1509809870/so4dyemt9e2hvocnywd1.jpg	v1509809872/swzwoteqly9rce9ss7rn.jpg	v1509809874/haxawrz817skke4edp9c.jpg
Indonésie - Bali	C’est une destination de rêve pour les amoureux de la nature. Les plages de Bali, les sites de plongée de Binaken, l’ascension du mont Bromo à l’est de Java, le lac Toba et les différents parcs de Sumatra ne sont que quelques exemples des activités touristiques proposées. A ces multiples sites naturels s’ajoute un riche héritage culturel que l’on retrouvera notamment dans les temples de Toraja, Yogyakarta, Minangkabau et bien sûr à Bali, où s’organisent chaque année de nombreuses festivités hindoues.	Les guides ci-dessous travaillent la plupart du temps sur un nombre restreint d’îles de l’archipel. Beaucoup d’entre eux se concentrent sur Bali, destination privilégiée chaque année par de nombreux touristes avides d’aventures et de paysages fabuleux.	v1509810092/rb3lthooi3wpqbufxa58.jpg	v1509810093/mjvl7hvjhhxp5r55mqjk.jpg	v1509810095/dldwwpcii3upo6mkysuy.jpg	v1509810097/lml8uda44nhs9d50pxm7.jpg
Jordanie	La Jordanie, à cheval entre le croissant fertile et le désert d’Arabie, est principalement composée d’un plateau désertique aride à l’Est, et d’une région montagneuse à l’Ouest. Berceau de nombreuses grandes civilisations, la Jordanie dispose de plusieurs sites culturels mondialement connus, à commencer par le site de Petra, inscrit depuis 1985 au patrimoine mondial de l’UNESCO.	En plongeant au milieu des réserves naturelles du pays, vous pourrez admirer des paysages et des couchers de soleils inoubliables. Le désert du Wadi Rum vous offrira l’opportunité de découvrir la vie des bédouins et l’histoire de cette région magnifique à dos de chameaux. Ci-dessous, nous répertorions à la fois des chauffeurs pouvant vous accompagner d’un site historique à un autre, des guides culturels mais aussi des bédouins qui vous proposeront des séjours inoubliables en plein cœur du Wadi Rum.	v1509810399/aovzbk0ran7leydt7bai.jpg	v1509810400/awyzudk6w1f8kwykkt3j.jpg	v1509810401/yrkaklhhdlzag8vyh3yp.jpg	v1509810403/ymayl8lc373g4grl9gjy.jpg
Sri-Lanka	Marco Polo en son temps décrivait le Sri-Lanka comme une des plus belles îles au monde. Ce territoire magnifique à la pointe de l’Inde a pourtant été marqué ces dernières années par la guerre civile et le tsunami. Aujourd’hui, alors que le pays relève la tête, le Sri Lanka retrouve son statut de destination de rêve.	Comme le soulignent la plupart des guides de voyage, le Sri Lanka offre une impressionnante diversité d’activités : sites archéologiques de Anurâdhapura et de Dambulla inscrits au patrimoine mondial, parcs nationaux de Bundula, réserve forestière de Sinharâja, surf, etc. Les guides et chauffeurs proposés par SoGuide ne manqueront pas de vous faire découvrir cette île merveilleuse en vous organisant un voyage sur mesure qui répondra, nous l’espèrerons, à toutes vos attentes.	v1509815493/fnd6rwb3ao8arew2nqy3.jpg	v1509815495/hfayaloee6fhoqtqwvb4.jpg	v1509815496/nhsa7u0bykyxrepbhgtx.jpg	v1509815496/howzs40tzhsbqejjpqn7.jpg
Kenya	Amoureux des grands espaces et des animaux sauvages incarnant la liberté ? N’hésitez plus, le Kenya est fait pour vous ! Vous pourrez profiter de l’étendue de ce pays et de sa culture ancestrale, en parcourant ses 50 parcs et réserves naturelles. Situés hors des sentiers battus, ces lieux tels que le parc des Aberdares ou du Meru, vous procureront un sentiment de dépaysement face à une telle grandeur, tandis qu’un passage par le lac Nakuru reflétera la biodiversité kényane.	Ainsi, les guides soigneusement sélectionnés par SoGuide tâcheront de satisfaire vos désirs à travers des safaris inoubliables lors desquels se mêleront aventure et authenticité !	v1509810523/cmhjxquhjyahub32r7ts.jpg	v1509810525/art2u8yaphlyxxctp9td.jpg	v1509810526/uuwlauqlrm6jo97iwkis.jpg	v1509810527/jo0psve2sv9fb71wam9a.jpg
Madagascar	La cinquième île du monde en taille, n’est pas un pays comme les autres. Depuis vingt siècles, l’île est façonnée par des peuples afro-asiatiques d’horizons divers (Europe, Moyen-Orient, Afrique Noire, Indonésie), dont les traditions diverses forment aujourd’hui une société pluriculturelle malgache.	La diversité de ses paysages est remarquable: la savane de l’ouest ne partage rien avec les doux reliefs de l’intérieur, marqués par la latérite rouge. Il y existe aussi des plantes et des animaux uniques au monde, tels les lémuriens. Les guides & chauffeurs répertoriés sur SoGuide sont polyvalents et vous feront découvrir chacun de ces aspects de leur pays… nous vous certifions une expérience unique en son genre.	v1509811547/btvmwwrszqsrdjiehp19.jpg	v1509811548/ippywctkthrjwnp0akxi.jpg	v1509811550/lrvcrldmefvzzip37udq.jpg	v1509811551/ls541flmqia3b1tcm8km.jpg
Maroc	Le Maroc est un pays magnifique qui propose diverses activités culturelles majoritairement regroupées autour des grandes villes que sont Casablanca, Fès, Agadir et Marrakech. On distinguera les régions côtières, l’intérieur des terres, les régions montagneuses du Rif et du Moyen-Atlas et enfin les régions désertiques – Maroc présaharien et saharien.	La plupart des guides répertoriés par Soguide sont des guides de randonnées qui connaissent aussi bien les montagnes et le littoral que le désert. Pour des paysages enneigés inoubliables et souvent méconnus, n’hésitez pas à entreprendre l’ascension du M’goun et du Toubkal à plus de 4000 mètres d’altitude. Vous pouvez aussi choisir de découvrir les paysages désertiques du Sahara à dos de chameau ou profiter du soleil des superbes plages marocaines.	v1509811777/jvxbypeo2ncfdoktllhx.jpg	v1509811779/jp4ce7zdd7xczxvgaruh.jpg	v1509811780/obpfrdeg1fghkfbfiaom.jpg	v1509811781/vn69s28okpseqs4n6fiw.jpg
Tanzanie	La Tanzanie est principalement connue comme étant le meilleur pays pour réaliser un safari en Afrique. C’est aussi un des points de départ privilégiés pour entreprendre l’ascension du Kilimanjaro, la plus haute montagne du continent, culminant à près de 6000 mètres. Voilà au moins deux occasions de faire appel à un guide local pour vous accompagner durant votre séjour !	Avec près de 40% de sa surface protégée sous forme de réserves naturelles, la Tanzanie offre une biodiversité hors du commun. Pour profiter au maximum de ce pays fabuleux, nous vous proposons ci-dessous quelques guides avec qui entrer en contact, que ce soit pour un trek ou un safari.	v1509815824/b2iwc4kjohw9xnkpetsv.jpg	v1509815826/n1z1rla6tzf4qflcwblu.jpg	v1509815827/ufalmhcuadw5duktrdoc.jpg	v1509815828/rd3hstq5own6uig4tmdr.jpg
Vietnam	Pays en forme de dragon et représentant historique de l’Extrême-Orient, le Vietnam est symbolique d’un espace éternel, miraculeusement préservé, intacte et simple. Alors que « l’huître fermée » s’ouvre au monde extérieur, celle-ci demeure faiblement équipée, et chaque déplacement en son sein y fait office de véritable aventure et dépaysement.	Après Hanoi, ville unique par son architecture coloniale et son dynamisme et Hồ Chí Minh-Ville, la grande cité du Sud, vous profiterez notamment de la baie d’Along et du delta du Mékong. Les grands espaces s’ouvriront alors à vous, et vous découvrirez le Vietnam profond, accompagnés des guides répertoriés sur SoGuide : la beauté et la biodiversité des parcs naturels, tels Cuc Phuong ou Yok Don, n’attendent plus que vous.	v1509816121/zmkmqt28x4b0elntopmp.jpg	v1509816122/ryev1yqibpyekf93t0qo.jpg	v1509816123/j9ixkgmq0s6vealw8fym.jpg	v1509816124/jda0bkphi546xszhkn7a.jpg
